# Nymara wildlife, written by tools/author_region_content.py.
#
# Every creature here draws a reviewed model in the client (`model: final`
# in creatures.txt). The placeholder species keep their definitions for
# invasions and quest text, but none of them stands in a field.
#
# Tiles are chosen on the generated server maps: walkable, reachable from
# an arrival under the climb rule, footprint on open ground, clear of
# arrivals, portals, NPC posts and service points. Re-run the tool after a
# map package changes rather than editing a coordinate by hand.

# mirrorhold
spawn | mirrorhold | river_otter | 112 | 379
spawn | mirrorhold | river_otter | 207 | 178
spawn | mirrorhold | river_otter | 235 | 126
spawn | mirrorhold | river_otter | 134 | 33
spawn | mirrorhold | crown_antler_stag | 37 | 42
spawn | mirrorhold | crown_antler_stag | 44 | 57
spawn | mirrorhold | crown_antler_stag | 56 | 57
spawn | mirrorhold | crown_antler_stag | 186 | 140
spawn | mirrorhold | riverglass_otter | 127 | 179
spawn | mirrorhold | riverglass_otter | 280 | 122
spawn | mirrorhold | riverglass_otter | 191 | 253
spawn | mirrorhold | crown_antler_stag | 256 | 212
spawn | mirrorhold | crown_antler_stag | 131 | 115
spawn | mirrorhold | crown_antler_stag | 45 | 168
spawn | mirrorhold | frosthorn_elk | 38 | 77
spawn | mirrorhold | frosthorn_elk | 205 | 211
spawn | mirrorhold | luminous_manta_ray | 168 | 153
spawn | mirrorhold | tidal_crystal_lion | 96 | 49
spawn | mirrorhold | crag_ogre | 34 | 135
spawn | mirrorhold | crag_ogre | 309 | 326
spawn | mirrorhold | crag_ogre | 234 | 166
spawn | mirrorhold | moss_stone_troll | 275 | 249
spawn | mirrorhold | moss_stone_troll | 212 | 143
spawn | mirrorhold | moss_stone_troll | 30 |  12

# crownwater
spawn | crownwater | river_otter | 65 | 196
spawn | crownwater | river_otter | 65 | 181
spawn | crownwater | river_otter | 74 | 179
spawn | crownwater | river_otter | 81 | 179
spawn | crownwater | river_otter | 100 | 277
spawn | crownwater | river_otter | 110 | 276
spawn | crownwater | coralcrest_heron | 167 | 71
spawn | crownwater | coralcrest_heron | 176 | 71
spawn | crownwater | coralcrest_heron | 179 | 52
spawn | crownwater | bronze_tide_crab | 284 | 124
spawn | crownwater | bronze_tide_crab | 290 | 117
spawn | crownwater | bronze_tide_crab | 298 | 118
spawn | crownwater | crystal_shore_crab | 316 | 180
spawn | crownwater | crystal_shore_crab | 320 | 201
spawn | crownwater | bronze_diving_beetle | 191 | 288
spawn | crownwater | bronze_diving_beetle | 198 | 285
spawn | crownwater | luminous_manta_ray | 38 | 88
spawn | crownwater | luminous_manta_ray | 60 | 80
spawn | crownwater | abyssal_armored_fish | 152 | 377
spawn | crownwater | abyssal_armored_fish | 131 | 378
spawn | crownwater | abyssal_armored_fish | 142 | 388
spawn | crownwater | abyssal_armored_fish | 134 | 371
spawn | crownwater | abyssal_armored_fish | 135 | 385
spawn | crownwater | tidal_crystal_lion | 369 | 272
spawn | crownwater | riverglass_otter | 98 | 287
spawn | crownwater | river_lizardfolk | 298 | 110
spawn | crownwater | river_lizardfolk | 280 | 107
spawn | crownwater | river_lizardfolk | 291 | 125
spawn | crownwater | river_capybara | 57 | 188
spawn | crownwater | river_capybara | 90 | 195
spawn | crownwater | river_capybara | 55 | 207
spawn | crownwater | azure_axolotl | 201 | 89
spawn | crownwater | azure_axolotl | 194 | 50
spawn | crownwater | azure_axolotl | 212 | 70
spawn | crownwater | river_stone_golem | 288 | 218
spawn | crownwater | river_stone_golem | 311 | 221
spawn | crownwater | river_stone_golem | 301 | 225
spawn | crownwater | sunken_stone_colossus | 135 | 363
spawn | crownwater | sunken_stone_colossus | 145 | 359
spawn | crownwater | sunken_stone_colossus | 152 | 357
spawn | crownwater | tidal_claw_construct | 49 | 72
spawn | crownwater | tidal_claw_construct | 39 | 70
spawn | crownwater | tidal_claw_construct | 58 | 72
spawn | crownwater | crownwater_temple_guard | 366 | 260
spawn | crownwater | crownwater_temple_guard | 352 | 296
spawn | crownwater | crownwater_temple_guard | 345 | 270
spawn | crownwater | barnacle_ogre | 286 | 29
spawn | crownwater | barnacle_ogre | 271 | 11
spawn | crownwater | barnacle_ogre | 266 | 21

# four_gates
spawn | four_gates | river_otter | 29 | 100
spawn | four_gates | river_otter | 48 | 85
spawn | four_gates | river_otter | 359 | 70
spawn | four_gates | river_otter | 358 | 91
spawn | four_gates | river_otter | 36 | 85
spawn | four_gates | crown_antler_stag | 381 | 393
spawn | four_gates | crown_antler_stag | 378 | 323
spawn | four_gates | crown_antler_stag | 389 | 340
spawn | four_gates | crown_antler_stag | 390 | 358
spawn | four_gates | crown_antler_stag | 389 | 391
spawn | four_gates | crown_antler_stag | 39 | 318
spawn | four_gates | crown_antler_stag | 12 | 321
spawn | four_gates | riverglass_otter | 28 | 65

# whitehorn_range
spawn | whitehorn_range | whitehorn_ice_ram | 43 | 281
spawn | whitehorn_range | whitehorn_ice_ram | 235 | 283
spawn | whitehorn_range | whitehorn_ice_ram | 357 | 296
spawn | whitehorn_range | whitehorn_ice_ram | 53 | 291
spawn | whitehorn_range | crystal_polar_bear | 58 | 346
spawn | whitehorn_range | crystal_polar_bear | 357 | 330
spawn | whitehorn_range | crystal_polar_bear | 321 | 341
spawn | whitehorn_range | ice_snow_leopard | 334 | 315
spawn | whitehorn_range | ice_snow_leopard | 360 | 314
spawn | whitehorn_range | ice_snow_leopard | 260 | 307
spawn | whitehorn_range | whitehorn_yak | 300 | 80
spawn | whitehorn_range | whitehorn_yak | 301 | 96
spawn | whitehorn_range | whitehorn_ice_ram | 344 | 297
spawn | whitehorn_range | whitehorn_ice_ram | 243 | 290
spawn | whitehorn_range | ice_snow_leopard | 266 | 285
spawn | whitehorn_range | ice_snow_leopard | 345 | 328
spawn | whitehorn_range | crystal_polar_bear | 48 | 361
spawn | whitehorn_range | crystal_polar_bear | 59 | 338
spawn | whitehorn_range | glacier_crab | 251 | 286
spawn | whitehorn_range | glacier_crab | 221 | 284
spawn | whitehorn_range | glacier_crab | 241 | 302
spawn | whitehorn_range | glacier_harpy | 337 | 379
spawn | whitehorn_range | glacier_harpy | 278 | 375
spawn | whitehorn_range | whitehorn_ice_griffin | 358 | 362
spawn | whitehorn_range | whitehorn_ice_griffin | 331 | 353
spawn | whitehorn_range | frosthorn_elk | 216 | 53
spawn | whitehorn_range | frosthorn_elk | 69 | 129
spawn | whitehorn_range | crystal_cave_spider | 38 | 307
spawn | whitehorn_range | crystal_cave_spider | 37 | 317
spawn | whitehorn_range | cobalt_ibex | 60 | 282
spawn | whitehorn_range | thornhide_wolf | 263 | 277
spawn | whitehorn_range | moonshadow_lynx | 330 | 303
spawn | whitehorn_range | glacier_troll | 42 | 347
spawn | whitehorn_range | glacier_troll | 336 | 339
spawn | whitehorn_range | glacier_troll | 73 | 349
spawn | whitehorn_range | snow_yeti | 62 | 327
spawn | whitehorn_range | snow_yeti | 274 | 324
spawn | whitehorn_range | snow_yeti | 332 | 332
spawn | whitehorn_range | ice_wolverine | 274 | 285
spawn | whitehorn_range | ice_wolverine | 262 | 295
spawn | whitehorn_range | ice_wolverine | 274 | 309
spawn | whitehorn_range | frost_stone_golem | 352 | 373
spawn | whitehorn_range | frost_stone_golem | 61 | 377
spawn | whitehorn_range | frost_stone_golem | 263 | 360
spawn | whitehorn_range | glacier_titan | 66 | 351
spawn | whitehorn_range | glacier_titan | 70 | 373
spawn | whitehorn_range | glacier_titan | 346 | 352
spawn | whitehorn_range | frost_wraith_queen | 45 | 371
