# Original test areas: kind, map, inclusive bounds, multiplier.
area | fast_regeneration | emberhaven | 57 | 55 | 67 | 63 | 3
area | fast_reading | emberhaven | 55 | 59 | 61 | 65 | 3

# --- Nymara secrets, written by tools/author_region_content.py secrets ---
# Written from interiors/<region>_secrets/world.json and the entrance records
# in the region manifests. Object ids: entrances 500+ on their map, a secrets
# map's furniture 600+, its harvest nodes 700+. Re-run `secrets` after a
# secrets package or a region package changes.
area | harvest_speed | amberwood_secrets | 219 | 137 | 241 | 159 | 2
area | experience | amberwood_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | amberwood_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | amberwood_secrets | 3 | 3 | 19 | 15 | 3
area | experience | amberwood_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | amberwood_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | amberwood_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | amberwood_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | amethyst_barrens_secrets | 219 | 137 | 241 | 159 | 2
area | experience | amethyst_barrens_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | amethyst_barrens_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | amethyst_barrens_secrets | 3 | 3 | 19 | 15 | 3
area | experience | amethyst_barrens_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | amethyst_barrens_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | amethyst_barrens_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | amethyst_barrens_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | crownwater_secrets | 219 | 137 | 241 | 159 | 2
area | experience | crownwater_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | crownwater_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | crownwater_secrets | 3 | 3 | 19 | 15 | 3
area | experience | crownwater_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | crownwater_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | crownwater_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | crownwater_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | four_gates_secrets | 147 | 136 | 169 | 158 | 2
area | experience | four_gates_secrets | 75 | 3 | 91 | 14 | 2
area | fast_reading | four_gates_secrets | 147 | 73 | 165 | 86 | 3
area | fast_regeneration | four_gates_secrets | 219 | 74 | 235 | 86 | 3
area | experience | four_gates_secrets | 3 | 128 | 11 | 158 | 2
area | no_magic | four_gates_secrets | 291 | 140 | 309 | 158 | 2
area | cheap_magic | four_gates_secrets | 75 | 72 | 91 | 86 | 2
area | fast_regeneration | four_gates_secrets | 147 | 5 | 159 | 14 | 2
area | harvest_speed | grey_moors_secrets | 219 | 137 | 241 | 159 | 2
area | experience | grey_moors_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | grey_moors_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | grey_moors_secrets | 3 | 3 | 19 | 15 | 3
area | experience | grey_moors_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | grey_moors_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | grey_moors_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | grey_moors_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | manymouth_delta_secrets | 219 | 137 | 241 | 159 | 2
area | experience | manymouth_delta_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | manymouth_delta_secrets | 291 | 74 | 309 | 87 | 3
area | fast_regeneration | manymouth_delta_secrets | 3 | 3 | 19 | 15 | 3
area | experience | manymouth_delta_secrets | 75 | 129 | 83 | 159 | 2
area | no_magic | manymouth_delta_secrets | 75 | 69 | 93 | 87 | 2
area | cheap_magic | manymouth_delta_secrets | 219 | 73 | 235 | 87 | 2
area | fast_regeneration | manymouth_delta_secrets | 291 | 6 | 303 | 15 | 2
area | harvest_speed | mirrorhold_secrets | 219 | 137 | 241 | 159 | 2
area | experience | mirrorhold_secrets | 219 | 4 | 235 | 15 | 2
area | fast_reading | mirrorhold_secrets | 291 | 74 | 309 | 87 | 3
